AK,188,650,626932,6.2
AL,878,540,4447100,3.1
AR,736,494,2673400,3.4
AZ,296,482,5130632,5
CA,112,352,33871648,4.1
CO,440,366,4301261,2.8
CT,1152,240,3405565,3.6
DE,1112,332,783600,3.4
FL,1020,662,15982378,3.3
GA,956,534,8186453,3.6
HI,464,760,1211537,2.7
IA,714,294,2926324,2.5
ID,286,202,1293953,2.9
IL,810,336,12419293,4
IN,874,330,6080485,3.3
KS,604,388,2688418,3.2
KY,906,406,4041769,4.4
LA,742,604,4468976,4.3
MA,1162,216,6349097,2.9
MD,1076,324,5296486,3.8
ME,1190,118,1274923,2.9
MI,892,240,9938444,4.2
MN,678,172,4919479,3.3
MO,730,394,5595211,3.2
MS,812,548,2844658,5.2
MT,388,122,902195,3.3
NC,1038,442,8049313,4.2
ND,566,130,642200,2.4
NE,572,302,1711263,3.1
NH,1160,178,1235786,2.5
NJ,1122,286,8414350,3.2
NM,416,490,1819046,4.9
NV,204,314,1998257,4.1
NY,1082,214,18976457,4
OH,944,320,11353140,4.1
OK,618,478,3450654,3.2
OR,148,172,3421399,4
PA,1046,288,12281054,3.9
RI,1178,234,1048319,3.6
SC,1012,502,4012012,3.2
SD,572,218,754844,2.9
TN,882,458,5689283,3.5
TX,582,598,20851820,3.4
UT,308,342,2233169,2.8
VA,1058,378,7078515,2.8
VT,1134,172,608827,2.1
WA,184,76,5894121,4.6
WI,784,206,5363675,3.1
WV,992,356,1808344,4.6
WY,414,250,493782,3.7
