WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13380604.1918 4109655.3757),180,4,-120.2,,1,99.99,5.7,1915,34.6,12,31,-1.30E+07,4109655
POINT (-13302680.5817 4661688.2353),181,23,-119.5,,4,99.99,5,1915,38.58,5,11,-1.30E+07,4661688
POINT (-13226983.2849 4311635.526),182,6,-118.82,,5,99.99,5,1915,36.08,29,46,-1.30E+07,4311636
POINT (-12857402.4809 3868787.9343),183,3,-115.5,,6,99.99,6,1915,32.8,23,59,-1.30E+07,3868788
POINT (-12857402.4809 3868787.9343),184,4,-115.5,,6,99.99,5.9,1915,32.8,23,56,-1.30E+07,3868788
POINT (-12801742.7194 3763311.2475),185,,-115,,11,42,6.6,1915,32,21,13,-1.30E+07,3763311
POINT (-14026257.4161 5012342.3766),186,12,-126,,12,99.99,6.5,1915,41,31,20,-1.40E+07,5012342
POINT (-13497489.6975 4393208.9981),187,19,-121.25,,8,99.99,5.8,1916,36.67,6,38,-1.30E+07,4393209
POINT (-12924194.1905 3921881.4482),188,2,-116.1,,9,99.99,5.7,1916,33.2,30,11,-1.30E+07,3921881
POINT (-13247020.7838 4143516.0383),189,2,-119,,10,99.99,5.5,1916,34.85,23,44,-1.30E+07,4143516
POINT (-12990985.9159 4204725.7376),190,9,-116.7,,11,99.99,5.9,1916,35.3,10,11,-1.30E+07,4204726
POINT (-12835138.5787 3868787.9356),192,6,-115.3,,5,99.99,5.5,1917,32.8,28,6,-1.30E+07,3868788
POINT (-13024381.7543 3995282.9775),193,22,-117,,4,25,6.8,1918,33.75,21,32,-1.30E+07,3995283
POINT (-12846270.5282 3842330.8494),194,4,-115.4,,5,99.99,5.6,1918,32.6,1,32,-1.30E+07,3842331
POINT (-12990985.9001 3975218.0759),195,22,-116.7,,6,99.99,5.5,1918,33.6,6,32,-1.30E+07,3975218
POINT (-13914937.9103 5012342.3894),196,,-125,,7,99.99,6.5,1918,41,15,23,-1.40E+07,5012342
POINT (-13269284.6861 4150300.4905),197,15,-119.2,,2,99.99,5.7,1919,34.9,16,57,-1.30E+07,4150300
POINT (-12801742.7239 3842330.8519),198,19,-115,,10,99.99,5.9,1919,32.6,1,30,-1.30E+07,3842331
POINT (-13302680.5779 4621893.5979),199,13,-119.5,,12,99.99,5.2,1919,38.3,19,59,-1.30E+07,4621894
POINT (-12990985.8967 3921881.4439),200,2,-116.7,,1,,5,1920,33.2,1,35,-1.30E+07,3921881
POINT (-12857402.4778 3815932.7594),201,19,-115.5,,9,,5.5,1921,32.4,8,24,-1.30E+07,3815933
POINT (-14026257.4161 5012342.3766),202,9,-126,,1,20,6,1922,41,26,31,-1.40E+07,5012342
POINT (-13970597.6632 5012342.3831),203,13,-125.5,,1,22,7.3,1922,41,31,17,-1.40E+07,5012342
POINT (-13386170.179 4266276.7261),204,11,-120.25,,3,20,6.3,1922,35.75,10,21,-1.30E+07,4266277
POINT (-13386170.179 4266276.7261),205,5,-120.25,,8,,5.7,1922,35.75,18,12,-1.30E+07,4266277
POINT (-13436263.9529 4204725.7038),206,9,-120.7,,9,99.99,5.5,1922,35.3,5,5,-1.30E+07,4204726
POINT (-13414000.1439 5160980.2507),207,4,-120.5,,1,,5,1923,42,11,29,-1.30E+07,5160980
POINT (-13903805.9497 4924241.302),208,9,-124.9,,1,18,7.2,1923,40.4,22,4,-1.40E+07,4924241
POINT (-13914937.9103 5012342.3894),209,2,-125,,4,29,5,1923,41,29,31,-1.40E+07,5012342
POINT (-13052211.6342 4028802.6779),210,7,-117.25,,7,26,6.2,1923,34,23,30,-1.30E+07,4028803
POINT (-12857402.4785 3829124.466),211,22,-115.5,,11,,5,1923,32.5,5,7,-1.30E+07,3829124
POINT (-12857402.4785 3829124.466),212,23,-115.5,,11,,5.5,1923,32.5,7,57,-1.30E+07,3829124
POINT (-13914937.9188 5086374.3851),213,12,-125,,6,52,6,1925,41.5,4,2,-1.40E+07,5086374
POINT (-13336076.3855 4069156.8217),214,14,-119.8,,6,16,6.8,1925,34.3,29,42,-1.30E+07,4069157
POINT (-13302680.5329 4069156.8241),215,18,-119.5,,2,,5.5,1926,34.3,18,18,-1.30E+07,4069157
POINT (-12913062.2463 4028802.6873),216,20,-116,,4,,5.5,1926,34,3,8,-1.30E+07,4028803
POINT (-13302680.5349 4096139.686),217,23,-119.5,,6,,5.5,1926,34.5,29,21,-1.30E+07,4096140
POINT (-13180229.088 4273137.1462),218,13,-118.4,,6,,5.5,1926,35.8,30,31,-1.30E+07,4273137
POINT (-13402868.1135 4369641.1921),219,17,-120.4,15,7,49,5.8,1926,36.5,25,57,-1.30E+07,4369641
POINT (-13603243.2281 4373796.4331),220,12,-122.2,,10,7,6.1,1926,36.53,22,35,-1.40E+07,4373796
POINT (-13601016.8382 4376567.5005),221,13,-122.18,,10,22,6.1,1926,36.55,22,35,-1.40E+07,4376568
POINT (-13604356.429 4441895.5714),222,22,-122.21,,10,49.5,5.8,1926,37.02,24,51,-1.40E+07,4441896
POINT (-14026257.4119 4975537.069),223,8,-126,,12,53,6,1926,40.75,10,38,-1.40E+07,4975537
POINT (-13402868.1124 4355801.9443),224,9,-120.4,,12,,5.5,1926,36.4,27,19,-1.30E+07,4355802
POINT (-12857402.4785 3829124.466),225,8,-115.5,,1,45,5.8,1927,32.5,1,16,-1.30E+07,3829124
POINT (-12857402.4785 3829124.466),226,9,-115.5,,1,30,5.5,1927,32.5,1,13,-1.30E+07,3829124
POINT (-13611035.5987 4432140.3949),227,11,-122.27,,2,99.99,5.9,1927,36.95,15,54,-1.40E+07,4432140
POINT (-13609922.4036 4432140.3951),228,23,-122.26,,2,3.5,5,1927,36.95,15,54,-1.40E+07,4432140
POINT (-13191361.0212 4028802.6684),229,12,-118.5,,8,,5,1927,34,4,24,-1.30E+07,4028803
POINT (-13870410.1078 5012342.3947),230,20,-124.6,,8,44,5,1927,41,20,5,-1.40E+07,5012342
POINT (-13219190.9358 4509032.113),231,2,-118.75,,9,7,5.5,1927,37.5,18,7,-1.30E+07,4509032
POINT (-13458527.8475 4109655.3701),232,13,-120.9,,11,53,7.1,1927,34.6,4,50,-1.30E+07,4109655
POINT (-13653337.0501 4836921.9759),233,21,-122.65,,4,15,5.5,1928,39.8,15,57,-1.40E+07,4836922
POINT (-13024381.766 4163881.8211),234,14,-117,,9,,5.5,1928,35,5,42,-1.30E+07,4163882
POINT (-12990985.9001 3975218.0759),235,19,-116.7,,10,,5.5,1928,33.6,2,1,-1.30E+07,3975218
POINT (-12970948.3995 4140803.4313),236,20,-116.52,,9,22.7,5.1,1929,34.83,26,,-1.30E+07,4140803
POINT (-13156852.0033 4425177.9392),237,19,-118.19,,11,,5.5,1929,36.9,28,49,-1.30E+07,4425178
POINT (-13013249.8074 4055689.5181),238,,-116.9,,1,33.9,5.5,1930,34.2,16,24,-1.30E+07,4055690
POINT (-13015476.1975 4052997.971),239,,-116.92,,1,3.6,5.1,1930,34.18,16,34,-1.30E+07,4052998
POINT (-12857402.4825 3895304.6043),240,2,-115.5,,2,,5,1930,33,26,30,-1.30E+07,3895305
POINT (-13302680.5349 4096139.686),241,11,-119.5,,8,,5,1930,34.5,5,25,-1.30E+07,4096140
POINT (-13205832.5569 4022090.8622),242,,-118.63,,8,36,5.2,1930,33.95,31,40,-1.30E+07,4022091
POINT (-13825882.3043 5004970.205),243,2,-124.2,,9,,5.5,1930,40.95,23,58,-1.40E+07,5004970
